13,1293941
17,553254
18,1894110
15,5712143
08,4464119
06,1206216
12,5755700
07,1524826
03,10027602
11,1512672
14,300516
21,532644
22,545425
01,4311217
16,3953305
20,1611621
19,4875290
09,3692555
10,870165
02,125034
05,4879133
0,59641488
066,294838
067,303900
068,316363
069,378840
076,358401
077,194853
078,690503
079,349344
080,530967
101,168581
102,154715
061,913666
062,272318
063,3034410
064,410369
065,1081380
033,286433
034,454873
035,529609
036,707119
037,1021501
038,344510
039,387970
040,395306
099,336798
030,526474
031,137795
032,231445
093,310502
056,309795
057,152497
058,4253314
059,562592
060,477502
008,209382
009,271832
010,826194
011,217418
012,884876
013,597642
014,180425
015,3265327
016,1108126
017,1255437
018,540376
019,355908
020,406919
097,334961
098,227412
108,870193
041,356497
042,467451
043,310815
044,206172
109,171737
070,217362
094,83154
021,532644
022,545425
001,2230946
002,169390
003,364980
004,586113
005,212010
006,417288
096,174170
103,156320
071,606904
072,1230205
073,563995
074,385235
075,782165
110,384801
090,484407
091,205205
092,422840
095,154974
111,344195
081,421256
082,1222988
083,613887
084,423488
085,255931
086,160161
087,1072634
088,315601
089,389344
045,3692555
046,382543
047,291697
048,995517
049,331877
050,418122
051,339172
052,265179
053,219690
100,257073
054,646710
055,223455
007,125034
023,924742
024,855297
025,201309
026,883522
027,848829
028,933700
029,231734
